County,MICH-01_2015-2019,MICH-02_2015-2019,MICH-03_2015-2019,MICH-06_2015-2019,MICH-07_2015-2019,MICH-08_2015-2019,MICH-10_2015-2019,MICH-13_2015-2019,MetGoals_Reached
Pennsylvania,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0
Adams,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,1
Allegheny,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0
Armstrong,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,0
Beaver,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,0
Bedford,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,0
Berks,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,0
Blair,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,0
Bradford,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,1
Bucks,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,1
Butler,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1
Cambria,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,0
Cameron,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU
Carbon,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU
Centre,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,1
Chester,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,1
Clarion,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,0
Clearfield,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,0
Clinton,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,0
Columbia,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,0
Crawford,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0
Cumberland,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,0
Dauphin,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,0
Delaware,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,0
Elk,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU
Erie,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,0
Fayette,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,0
Forest,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU
Franklin,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,0
Fulton,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU
Greene,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,0
Huntingdon,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,0
Indiana,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,1
Jefferson,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,1
Juniata,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,0
Lackawanna,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,0
Lancaster,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,0
Lawrence,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,0
Lebanon,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,1
Lehigh,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,0
Luzerne,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,0
Lycoming,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,0
McKean,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,0
Mercer,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,0
Mifflin,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,0
Monroe,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,0
Montgomery,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,1
Montour,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU
Northampton,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,1
Northumberland,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
Perry,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,0
Philadelphia,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,0
Pike,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU
Potter,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU
Schuylkill,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,0
Snyder,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU
Somerset,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,1
Sullivan,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU
Susquehanna,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,0
Tioga,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU
Union,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU
Venango,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,0
Warren,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU
Washington,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
Wayne,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU
Westmoreland,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,1
Wyoming,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU
York,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,0
